,dt,my_team,oppo_team,守備,選手,打数,得点,安打,打点,盗塁,1,2,3,4,5,6,7,8,9,10,11,12,
6,2024-03-30,阪神タイガース,読売ジャイアンツ,(捕),11915132,1,0,0,0,0,-,投犠打,-,一邪飛,-,-,-,-,-,,,,
7,2024-03-30,阪神タイガース,読売ジャイアンツ,打捕,21325139,2,0,0,0,0,-,-,-,-,-,-,三　振,-,三ゴロ,,,,
8,2024-03-30,阪神タイガース,読売ジャイアンツ,(遊),31735138,2,0,0,0,0,-,二ゴロ,-,-,中　飛,-,-,-,-,,,,
9,2024-03-30,阪神タイガース,読売ジャイアンツ,打,61065131,1,0,1,0,0,-,-,-,-,-,-,左前安,-,-,,,,
10,2024-03-30,阪神タイガース,読売ジャイアンツ,走遊,31535138,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
11,2024-03-30,阪神タイガース,読売ジャイアンツ,(投),41345136,2,0,1,0,0,-,三　振,-,-,左前安,-,-,-,-,,,,
12,2024-03-30,阪神タイガース,読売ジャイアンツ,投,01705155,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
13,2024-03-30,阪神タイガース,読売ジャイアンツ,打,81185134,1,0,0,0,0,-,-,-,-,-,-,左　飛,-,-,,,,
14,2024-03-30,阪神タイガース,読売ジャイアンツ,投,41145153,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
15,2024-03-30,阪神タイガース,読売ジャイアンツ,投,53355157,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,,
0,2024-03-30,読売ジャイアンツ,阪神タイガース,(中),51955159,3,1,1,0,0,三　振,-,二ゴロ,-,左前安,-,投犠失,-,,,,,
